EC2 ファミリー選定の観点は？	CPU/メモリ/GPU/ネットワーク最適化などワークロード適合	saa perf compute
Placement Group（cluster）は？	低遅延・高スループット（同一AZ密集）	saa perf compute
Lambda の向き不向きは？	短時間イベント向き。長時間・恒常高負荷はECS/EC2も検討	saa perf compute
Batch の用途は？	大規模バッチのキューイング・計算資源管理	saa perf compute
CloudFront の主効果は？	エッジキャッシュでレイテンシ低下・オリジン負荷減	saa perf compute
Global Accelerator と CloudFront の違いは？	GA=TCP/UDPのAnya経路最適化 / CF=HTTPキャッシュCDN	saa perf compute
Enhanced Networking / EFA が出るときば？	高ネットワーク性能・HPC通信が必要	saa perf compute
オートスケールで性能を保つ定石は？	先行スケール・適切なメトリクス・暖機（必要なら）	saa perf compute
ベアメタルインスタンスとは？	物理サーバをほぼ丸ごと使うEC2（.metal）。仮想化を排しハード直結・自前HV等が必要なとき	saa perf compute source:cursor
Placement Group（partition）は？	パーティション単位で分散配置。同時障害リスクを下げつつclusterより台数を載せやすい	saa perf compute source:cursor
EC2 の R系と T系の違いは？	R系=メモリ最適化（大容量RAM・DB/キャッシュ等） / T系=バースト汎用（CPUクレジット。枯渇で性能低下・常時高CPU向きでない）	saa perf compute source:cursor
EC2 の M系とは？大きさ？	M系=汎用（CPUとメモリのバランス）。大きさは別軸（large / xlarge 等）。デカい＝サイズ、M/C/R/T＝向き（C=CPU / R=メモリ / T=バースト）	saa perf compute source:cursor
