Amazon Athena	S3上のデータをSQLで分析できるサーバレスなクエリサービス	sap services analytics
AWS Data Exchange	サードパーティデータを安全に検索・利用・共有できるサービス	sap services analytics
AWS Data Pipeline	データの移動・変換を自動化するETLワークフローサービス	sap services analytics
Amazon EMR	ビッグデータ処理のためのHadoop/Sparkクラスタサービス	sap services analytics
AWS Glue	データカタログとETL処理を提供するサーバレスなデータ統合サービス	sap services analytics
Amazon Managed Service for Apache Flink	ストリーミングデータをSQLでリアルタイムに分析するサービス	sap services analytics
Kinesis Data Firehose	ストリーミングデータを自動的に保存・分析サービスに配信するサービス	sap services analytics
Amazon Kinesis Data Streams	ストリーミングデータをリアルタイムで収集・処理するサービス	sap services analytics
AWS Lake Formation	データレイクを迅速かつ安全に構築・管理するサービス	sap services analytics
Amazon Managed Streaming for Apache Kafka (Amazon MSK)	ストリーミングデータを処理するフルマネージドなApache Kafkaサービス	sap services analytics
Amazon OpenSearch Service	フルマネージドな全文検索・分析エンジンを提供するサービス	sap services analytics
Amazon QuickSight	スケーラブルで高速なBIダッシュボードを提供する可視化サービス	sap services analytics
Amazon AppFlow	SaaSとAWS間で、安全にデータ転送や同期機能を提供するサービス	sap services integration
AWS AppSync	GraphQL APIを構築・管理できるサービス	sap services integration
Amazon EventBridge	アプリ間のイベント接続機能や、スケジュール実行機能を提供するサービス	sap services integration
Amazon MQ	フルマネージドなApache ActiveMQ/RabbitMQを提供するサービス	sap services integration
Amazon SNS	フルマネージドなパブサブメッセージング機能を提供するサービス	sap services integration
Amazon SQS	非同期通信のためのメッセージキューを提供するサービス	sap services integration
AWS Step Functions	処理フローを視覚的に構築できるサーバレスな状態管理サービス	sap services integration
Amazon Managed Blockchain	ブロックチェーンネットワークの構築・管理機能を提供するサービス	sap services blockchain
Alexa for Business	Alexaを会議室や業務用途に活用するための音声操作サービス	sap services business
Amazon Simple Email Service (Amazon SES)	高スケーラビリティなEメール送信・受信サービス	sap services business
