GuardDutyの入力の代表は？	CloudTrail・VPCフロー・DNSログ等（マネージドで解析）	clf security hy
GuardDutyは脆弱性スキャンか？	いいえ。脅威検知。脆弱性はInspector	clf security hy
Inspectorが見るものの例は？	CVE・ネットワーク到達性など	clf security hy
Macieが主に見る場所は？	S3	clf security hy
Security HubとGuardDutyの関係は？	GuardDuty等の検出をSecurity Hubが集約・標準化できる	clf security hy
Shield Standardの料金は？	追加料金なし（自動有効）	clf security hy
Shield Advancedが欲しいとき（CLFレベル）は？	高度なDDoS対策・支援が必要なとき（有料）	clf security hy
WAFを置く典型的な前面は？	CloudFront / ALB / API Gateway 等	clf security hy
Firewall Managerの前提になりやすいものは？	Organizationsでの中央管理	clf security hy
CloudTrailは何を残す？	誰が・いつ・どのAPIを呼んだか	clf security hy
Configは何を残す？	リソースがどんな構成だったか・準拠していたか	clf security hy
CloudTrailとConfigを一言で区別すると？	Trail=操作 / Config=状態	clf security hy
Trusted Advisor全チェックが見られるプラン帯は？	Business以上（Basicは限定）	clf security hy
Detectiveが向く作業は？	インシデントの調査・関係性の深掘り	clf security hy
「暗号化されていないEBSがないか」継続チェック向きは？	Configルール	clf security hy
「ルートにMFAがない」を指摘しがちなのは？	Trusted Advisor（セキュリティ）	clf security hy
WAFで防ぎやすい攻撃の例は？	SQLインジェクション・XSSなどL7	clf security hy
DDoSの大量通信量攻撃にまず効くのは？	Shield（+必要ならAdvanced）	clf security hy
